Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
fnl4461,4461,ROAR_trivialCombination,439011576,404734278,131.466
rl5934,5934,ROAR_trivialCombination,1726484511,1600629535,144.856
pla7397,7397,ROAR_trivialCombination,105311697001,71650280161,158.157
rl11849,11849,ROAR_trivialCombination,5968299954,5635749638,198.638
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR_trivialCombination,154211,146411,9.42296
st70,70,ROAR_trivialCombination,22916,21655,8.82157
kroA100,100,ROAR_trivialCombination,1205980,1034434,8.12289
pr107,107,ROAR_trivialCombination,2126115,2029807,8.17613
ch150,150,ROAR_trivialCombination,501232,474012,10.5454
d198,198,ROAR_trivialCombination,1339497,1197334,14.7079
ts225,225,ROAR_trivialCombination,14292016,13498171,8.59372
a280,280,ROAR_trivialCombination,402456,363740,19.003
pcb442,442,ROAR_trivialCombination,10834987,10490340,14.249
att532,532,ROAR_trivialCombination,7837343,5968329,28.8268
rat783,783,ROAR_trivialCombination,3832339,3384549,24.4175
dsj1000,1000,ROAR_trivialCombination,9844947017,8198375082,70.1956
u1432,1432,ROAR_trivialCombination,118814766,109834674,103.928
d1655,1655,ROAR_trivialCombination,53779778,48870573,89.6374
pr2392,2392,ROAR_trivialCombination,502232250,445408927,112.656
pcb3038,3038,ROAR_trivialCombination,228041206,207188010,118.529
fnl4461,4461,ROAR_trivialCombination,439011576,404767781,131.464
rl5934,5934,ROAR_trivialCombination,1726484511,1609650540,144.855
pla7397,7397,ROAR_trivialCombination,105311697001,71814867015,158.155
rl11849,11849,ROAR_trivialCombination,5968299954,5583124900,198.665
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR_trivialCombination,154211,146411,10.1728
st70,70,ROAR_trivialCombination,22916,21655,8.81336
kroA100,100,ROAR_trivialCombination,1205980,1010503,8.11904
pr107,107,ROAR_trivialCombination,2126115,2029412,9.62425
ch150,150,ROAR_trivialCombination,501232,475259,8.28532
d198,198,ROAR_trivialCombination,1339497,1203388,9.95785
ts225,225,ROAR_trivialCombination,14292016,13548656,8.52321
a280,280,ROAR_trivialCombination,402456,364333,15.8116
pcb442,442,ROAR_trivialCombination,10834987,10494049,15.9441
att532,532,ROAR_trivialCombination,7837343,5927584,30.7246
rat783,783,ROAR_trivialCombination,3832339,3411307,37.5875
dsj1000,1000,ROAR_trivialCombination,9844947017,8188612414,29.3015
u1432,1432,ROAR_trivialCombination,118814766,110076632,103.927
d1655,1655,ROAR_trivialCombination,53779778,48954071,83.6087
pr2392,2392,ROAR_trivialCombination,502232250,446150028,112.658
pcb3038,3038,ROAR_trivialCombination,228041206,205119183,118.53
fnl4461,4461,ROAR_trivialCombination,439011576,403182833,131.466
rl5934,5934,ROAR_trivialCombination,1726484511,1591612130,144.856
pla7397,7397,ROAR_trivialCombination,105311697001,72108204771,158.157
rl11849,11849,ROAR_trivialCombination,5968299954,5617537318,198.629
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR_trivialCombination,154211,146411,12.3142
st70,70,ROAR_trivialCombination,22916,21655,8.03749
kroA100,100,ROAR_trivialCombination,1205980,1003549,20.7088
pr107,107,ROAR_trivialCombination,2126115,2029807,8.1929
ch150,150,ROAR_trivialCombination,501232,455942,31.0023
d198,198,ROAR_trivialCombination,1339497,1199997,10.7395
ts225,225,ROAR_trivialCombination,14292016,13498171,8.54926
a280,280,ROAR_trivialCombination,402456,364243,18.2745
pcb442,442,ROAR_trivialCombination,10834987,10560615,26.8602
att532,532,ROAR_trivialCombination,7837343,5934823,40.242
rat783,783,ROAR_trivialCombination,3832339,3406820,23.7942
dsj1000,1000,ROAR_trivialCombination,9844947017,8196572463,45.1972
u1432,1432,ROAR_trivialCombination,118814766,109663691,103.928
d1655,1655,ROAR_trivialCombination,53779778,49028468,59.7691
pr2392,2392,ROAR_trivialCombination,502232250,443459355,112.655
pcb3038,3038,ROAR_trivialCombination,228041206,207372951,118.528
fnl4461,4461,ROAR_trivialCombination,439011576,404135494,131.464
rl5934,5934,ROAR_trivialCombination,1726484511,1597449168,144.855
pla7397,7397,ROAR_trivialCombination,105311697001,71283699518,158.157
rl11849,11849,ROAR_trivialCombination,5968299954,5626561102,198.629
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR_trivialCombination,154211,146411,13.8109
st70,70,ROAR_trivialCombination,22916,21655,8.15791
kroA100,100,ROAR_trivialCombination,1205980,1003549,9.62452
pr107,107,ROAR_trivialCombination,2126115,2029807,8.17655
ch150,150,ROAR_trivialCombination,501232,474012,9.0532
d198,198,ROAR_trivialCombination,1339497,1195659,9.97659
ts225,225,ROAR_trivialCombination,14292016,13498171,8.52046
a280,280,ROAR_trivialCombination,402456,360902,22.1223
pcb442,442,ROAR_trivialCombination,10834987,10506556,28.6088
att532,532,ROAR_trivialCombination,7837343,5911928,34.6381
rat783,783,ROAR_trivialCombination,3832339,3414374,34.8276
dsj1000,1000,ROAR_trivialCombination,9844947017,8092012408,60.2032
u1432,1432,ROAR_trivialCombination,118814766,110609894,54.1792
d1655,1655,ROAR_trivialCombination,53779778,48860445,64.7709
pr2392,2392,ROAR_trivialCombination,502232250,448305422,112.655
pcb3038,3038,ROAR_trivialCombination,228041206,206438331,118.533
fnl4461,4461,ROAR_trivialCombination,439011576,403562901,131.466
rl5934,5934,ROAR_trivialCombination,1726484511,1606177466,144.855
pla7397,7397,ROAR_trivialCombination,105311697001,72152263767,158.158
rl11849,11849,ROAR_trivialCombination,5968299954,5597763053,198.63
Dataset,Nodes,Method,RawCost,FinalCost,Time(s)
berlin52,52,ROAR_trivialCombination,154211,146411,10.8835
st70,70,ROAR_trivialCombination,22916,21655,8.04214
kroA100,100,ROAR_trivialCombination,1205980,1003549,11.0838
pr107,107,ROAR_trivialCombination,2126115,2029807,8.15072
ch150,150,ROAR_trivialCombination,501232,474012,9.05136
d198,198,ROAR_trivialCombination,1339497,1205865,11.5028
ts225,225,ROAR_trivialCombination,14292016,13498171,8.57779
a280,280,ROAR_trivialCombination,402456,364231,18.2111
pcb442,442,ROAR_trivialCombination,10834987,10565000,19.315
att532,532,ROAR_trivialCombination,7837343,5909211,39.839
rat783,783,ROAR_trivialCombination,3832339,3419974,43.2038
dsj1000,1000,ROAR_trivialCombination,9844947017,8208270199,60.353
u1432,1432,ROAR_trivialCombination,118814766,109918193,103.927
d1655,1655,ROAR_trivialCombination,53779778,48868970,99.0971
pr2392,2392,ROAR_trivialCombination,502232250,449730928,112.655
pcb3038,3038,ROAR_trivialCombination,228041206,205354027,118.528
fnl4461,4461,ROAR_trivialCombination,439011576,404079902,131.465
rl5934,5934,ROAR_trivialCombination,1726484511,1595739581,144.855
pla7397,7397,ROAR_trivialCombination,105311697001,72118677742,158.166
rl11849,11849,ROAR_trivialCombination,5968299954,5638770465,198.641
