Dataset,Nodes,GILS-RVND_AvgCost,GILS-RVND_AvgTime(s),ROAR_AvgCost,ROAR_AvgTime(s),PDLSH_AvgCost,PDLSH_AvgTime(s)
usa13509,13509,128304299841.6000,213.9000,110741070163.3000,213.7209,129847350149.6000,214.0767
fma21553,21553,790984256.9000,287.2000,713502323.4000,286.8494,789215357.9000,287.0435
lsb22777,22777,778179967.0000,298.9600,696779026.4000,297.9763,768613936.3000,298.2172
bbz25234,25234,OOM,OOM,882319284.0000,320.3140,954846102.8000,320.6527
boa28924,28924,OOM,OOM,1162030560.0000,353.8595,1279439869.0000,354.6211
pla33810,33810,OOM,OOM,1075671907271.7000,398.2796,1144685082193.8999,398.5925
