Dataset,Nodes,GILS-RVND_AvgCost,GILS-RVND_AvgTime(s),ROAR_AvgCost,ROAR_AvgTime(s),PDLSH_AvgCost,PDLSH_AvgTime(s),Gap_PDLSH_vs_ROAR (%),Gap_GILS-RVND_vs_ROAR (%)
usa13509,13509,128304299841.6,213.9000,110741070163.3,213.7209,129847350149.6,214.0767,17.25311120628117,15.859725440977835
fma21553,21553,790984256.9,287.2000,713502323.4,286.8494,789215357.9,287.0435,10.611462922672803,10.859380685795255
lsb22777,22777,778179967.0,298.9600,696779026.4,297.9763,768613936.3,298.2172,10.30956833921142,11.682461370941176
bbz25234,25234,,OOM,882319284.0,320.314,954846102.8,320.6527,8.220019681673413,
boa28924,28924,,OOM,1162030560.0,353.8595,1279439869.0,354.6211,10.103805617642276,
pla33810,33810,,OOM,1075671907271.7,398.2796,1144685082193.9,398.5925,6.4158201451261085,
