Dataset,Nodes,GILS-RVND_AvgCost,GILS-RVND_AvgTime(s),ROAR_AvgCost,ROAR_AvgTime(s),PDLSH_AvgCost,PDLSH_AvgTime(s),ROAR_trivialCombination_AvgCost,ROAR_trivialCombination_AvgTime(s)
usa13509,13509,128304299841.6000,213.9000,110741070163.3,213.7209,129847350149.6,214.0767,119385258258.0,213.7198
fma21553,21553,790984256.9000,287.2000,713502323.4,286.8494,789215357.9,287.0435,770081875.7,286.8472
lsb22777,22777,778179967.0000,298.9600,696779026.4,297.9763,768613936.3,298.2172,752568634.9,297.9748
bbz25234,25234,OOM,OOM,882319284.0,320.314,954846102.8,320.6527,949330844.6,320.31170000000003
boa28924,28924,OOM,OOM,1162030560.0,353.8595,1279439869.0,354.6211,1247251851.2,353.857
pla33810,33810,OOM,OOM,1075671907271.7,398.2796,1144685082193.9,398.5925,1119380219093.4,398.275
