regularInstances/a280.tsp
[PROGRESS] Epoch: 23, Interval: 1.00s, Time: 23.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 24, Interval: 1.00s, Time: 24.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 25, Interval: 1.00s, Time: 25.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 26, Interval: 1.00s, Time: 26.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 27, Interval: 1.00s, Time: 27.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 28, Interval: 1.00s, Time: 28.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 29, Interval: 1.00s, Time: 29.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 30, Interval: 1.00s, Time: 30.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 31, Interval: 1.00s, Time: 31.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 32, Interval: 1.00s, Time: 32.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 33, Interval: 1.00s, Time: 33.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 34, Interval: 1.00s, Time: 34.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 35, Interval: 1.00s, Time: 35.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 36, Interval: 1.00s, Time: 36.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 37, Interval: 1.00s, Time: 37.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 38, Interval: 1.00s, Time: 38.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 39, Interval: 1.00s, Time: 39.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 40, Interval: 1.00s, Time: 40.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 41, Interval: 1.00s, Time: 41.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 42, Interval: 1.00s, Time: 42.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 43, Interval: 1.00s, Time: 43.00s, Best Cost: 346989.0
