
========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 07:58:38 2026
========================================
Time: 60.6372 | Cost: 130786605625
Time: 65.3015 | Cost: 130748293467
Time: 69.966 | Cost: 130701940751
Time: 74.6304 | Cost: 130666836374
Time: 79.295 | Cost: 130619254770
Time: 83.9593 | Cost: 130585350195
Time: 88.6237 | Cost: 130539227835
Time: 93.2881 | Cost: 130507150109
Time: 97.9527 | Cost: 130468504872
Time: 102.617 | Cost: 130439002982
Time: 107.281 | Cost: 130403503457
Time: 111.946 | Cost: 130375807692
Time: 116.61 | Cost: 130342217030
Time: 121.275 | Cost: 130315677729
Time: 125.939 | Cost: 130283266182
Time: 130.604 | Cost: 130257774634
Time: 135.268 | Cost: 130227464978
Time: 139.932 | Cost: 130204026732
Time: 144.597 | Cost: 130175501271
Time: 149.261 | Cost: 130153205588
Time: 153.926 | Cost: 130126047279
Time: 158.59 | Cost: 130105116226
Time: 163.255 | Cost: 130080216755
Time: 167.919 | Cost: 130060786941
Time: 172.584 | Cost: 130036778234
Time: 177.248 | Cost: 130018084895
Time: 181.913 | Cost: 129995179792
Time: 186.577 | Cost: 129977138264
Time: 191.242 | Cost: 129954953931
Time: 195.906 | Cost: 129937433032
Time: 200.57 | Cost: 129917275493
Time: 205.235 | Cost: 129896260925
Time: 209.899 | Cost: 129875948026

========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 08:13:29 2026
========================================
Time: 0.0000 | Cost: 131662124339
Time: 4.66438 | Cost: 131537469340
Time: 9.32886 | Cost: 131445942595
Time: 13.9933 | Cost: 131364268202
Time: 18.6577 | Cost: 131293514930
Time: 23.3221 | Cost: 131234568346
Time: 27.9865 | Cost: 131166016203
Time: 32.6509 | Cost: 131113713305
Time: 37.3153 | Cost: 131063435427
Time: 41.9797 | Cost: 131014753768
Time: 46.644 | Cost: 130968643686
Time: 51.3084 | Cost: 130909116041
Time: 55.9729 | Cost: 130866906759
Time: 60.6372 | Cost: 130825926271
Time: 65.3016 | Cost: 130786605625
Time: 69.966 | Cost: 130738897387
Time: 74.6305 | Cost: 130701940751
Time: 79.2949 | Cost: 130666836374
Time: 83.9593 | Cost: 130627818995
Time: 88.6237 | Cost: 130593685143
Time: 93.2882 | Cost: 130547275052
Time: 97.9527 | Cost: 130515140641
Time: 102.617 | Cost: 130483665007
Time: 107.281 | Cost: 130453604037
Time: 111.946 | Cost: 130424658634
Time: 116.61 | Cost: 130389569246
Time: 121.275 | Cost: 130362227563
Time: 125.939 | Cost: 130335559265
Time: 130.603 | Cost: 130309148631
Time: 135.268 | Cost: 130276853214
Time: 139.932 | Cost: 130251589143
Time: 144.597 | Cost: 130227464978
Time: 149.261 | Cost: 130204026732
Time: 153.926 | Cost: 130181138117
Time: 158.59 | Cost: 130153205588
Time: 163.255 | Cost: 130131411730
Time: 167.919 | Cost: 130110219995
Time: 172.584 | Cost: 130090120408
Time: 177.248 | Cost: 130065622323
Time: 181.913 | Cost: 130046358307
Time: 186.577 | Cost: 130027351812
Time: 191.241 | Cost: 130008871596
Time: 195.906 | Cost: 129986144055
Time: 200.57 | Cost: 129968202340
Time: 205.235 | Cost: 129950546180
Time: 209.899 | Cost: 129933080184

========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 08:17:13 2026
========================================
Time: 0.0000 | Cost: 131662124339
Time: 4.66436 | Cost: 131537469340
Time: 9.32879 | Cost: 131424515926
Time: 13.9932 | Cost: 131326573460
Time: 18.6576 | Cost: 131248919856
Time: 23.322 | Cost: 131179248374
Time: 27.9864 | Cost: 131113713305
Time: 32.6509 | Cost: 131063435427
Time: 37.3153 | Cost: 131003068488
Time: 41.9796 | Cost: 130946314593
Time: 46.644 | Cost: 130887850174
Time: 51.3083 | Cost: 130836097292
Time: 55.9727 | Cost: 130796296581
Time: 60.6371 | Cost: 130748293467
Time: 65.3016 | Cost: 130701940751
Time: 69.966 | Cost: 130658141331
Time: 74.6304 | Cost: 130610721578
Time: 79.2947 | Cost: 130563823169
Time: 83.9591 | Cost: 130523161407
Time: 88.6235 | Cost: 130491418114
Time: 93.2882 | Cost: 130453604037
Time: 97.953 | Cost: 130417584233
Time: 102.617 | Cost: 130389569246
Time: 107.282 | Cost: 130355549979
Time: 111.946 | Cost: 130322268711
Time: 116.61 | Cost: 130289695334
Time: 121.275 | Cost: 130257774634
Time: 125.939 | Cost: 130227464978
Time: 130.604 | Cost: 130198250919
Time: 135.268 | Cost: 130175501271
Time: 139.932 | Cost: 130142228898
Time: 144.597 | Cost: 130120685155
Time: 149.261 | Cost: 130095092764
Time: 153.926 | Cost: 130070474339
Time: 158.59 | Cost: 130046358307
Time: 163.255 | Cost: 130027351812
Time: 167.919 | Cost: 130004284330
Time: 172.583 | Cost: 129981632053
Time: 177.248 | Cost: 129959359954
Time: 181.912 | Cost: 129937433032
Time: 186.577 | Cost: 129913013012
Time: 191.241 | Cost: 129896260925
Time: 195.905 | Cost: 129875948026
Time: 200.57 | Cost: 129855958591
Time: 205.234 | Cost: 129836376374
Time: 209.899 | Cost: 129816863834

========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 08:20:59 2026
========================================
Time: 0.0000 | Cost: 131662124339
Time: 4.66443 | Cost: 131537469340
Time: 9.32891 | Cost: 131424515926
Time: 13.9933 | Cost: 131326573460
Time: 18.6577 | Cost: 131263510408
Time: 23.3221 | Cost: 131192810217
Time: 27.9865 | Cost: 131126598075
Time: 32.6509 | Cost: 131075845940
Time: 37.3152 | Cost: 131014753768
Time: 41.9796 | Cost: 130957410990
Time: 46.644 | Cost: 130909116041
Time: 51.3084 | Cost: 130856577420
Time: 55.9728 | Cost: 130806070255
Time: 60.6371 | Cost: 130767269713
Time: 65.3015 | Cost: 130720266283
Time: 69.966 | Cost: 130675560416
Time: 74.6303 | Cost: 130627818995
Time: 79.2947 | Cost: 130593685143
Time: 83.9591 | Cost: 130547275052
Time: 88.6235 | Cost: 130507150109
Time: 93.2878 | Cost: 130475986844
Time: 97.9522 | Cost: 130439002982
Time: 102.617 | Cost: 130403503457
Time: 107.281 | Cost: 130375807692
Time: 111.945 | Cost: 130342217030
Time: 116.61 | Cost: 130309148631
Time: 121.274 | Cost: 130276853214
Time: 125.939 | Cost: 130251589143
Time: 130.603 | Cost: 130221530575
Time: 135.267 | Cost: 130192512199
Time: 139.932 | Cost: 130169889107
Time: 144.596 | Cost: 130142228898
Time: 149.26 | Cost: 130115414223
Time: 153.925 | Cost: 130095092764
Time: 158.589 | Cost: 130070474339
Time: 163.254 | Cost: 130046358307
Time: 167.918 | Cost: 130027351812
Time: 172.582 | Cost: 130004284330
Time: 177.247 | Cost: 129981632053
Time: 181.911 | Cost: 129963774933
Time: 186.575 | Cost: 129941786826
Time: 191.24 | Cost: 129917275493
Time: 195.904 | Cost: 129900413389
Time: 200.569 | Cost: 129879981745
Time: 205.233 | Cost: 129859903648
Time: 209.897 | Cost: 129840286885

========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 08:24:44 2026
========================================
Time: 0.0000 | Cost: 131662124339
Time: 4.66441 | Cost: 131537469340
Time: 9.32878 | Cost: 131424515926
Time: 13.9931 | Cost: 131326573460
Time: 18.6576 | Cost: 131248919856
Time: 23.3219 | Cost: 131179248374
Time: 27.9863 | Cost: 131126598075
Time: 32.6507 | Cost: 131063435427
Time: 37.3152 | Cost: 131003068488
Time: 41.9797 | Cost: 130946314593
Time: 46.6442 | Cost: 130887850174
Time: 51.3087 | Cost: 130836097292
Time: 55.9731 | Cost: 130796296581
Time: 60.6376 | Cost: 130748293467
Time: 65.302 | Cost: 130701940751
Time: 69.9663 | Cost: 130658141331
Time: 74.6308 | Cost: 130610721578
Time: 79.2951 | Cost: 130563823169
Time: 83.9595 | Cost: 130531185525
Time: 88.624 | Cost: 130491418114
Time: 93.2884 | Cost: 130453604037
Time: 97.9528 | Cost: 130417584233
Time: 102.617 | Cost: 130382654366
Time: 107.282 | Cost: 130348879141
Time: 111.946 | Cost: 130322268711
Time: 116.611 | Cost: 130289695334
Time: 121.275 | Cost: 130257774634
Time: 125.939 | Cost: 130227464978
Time: 130.604 | Cost: 130198250919
Time: 135.268 | Cost: 130175501271
Time: 139.933 | Cost: 130147677610
Time: 144.597 | Cost: 130120685155
Time: 149.261 | Cost: 130095092764
Time: 153.926 | Cost: 130070474339
Time: 158.59 | Cost: 130051164106
Time: 163.255 | Cost: 130027351812
Time: 167.919 | Cost: 130004284330
Time: 172.583 | Cost: 129981632053
Time: 177.248 | Cost: 129959359954
Time: 181.912 | Cost: 129941786826
Time: 186.577 | Cost: 129917275493
Time: 191.241 | Cost: 129896260925
Time: 195.905 | Cost: 129875948026
Time: 200.57 | Cost: 129855958591
Time: 205.234 | Cost: 129836376374
Time: 209.899 | Cost: 129816863834

========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 08:28:29 2026
========================================
Time: 0.0000 | Cost: 131662124339
Time: 4.66444 | Cost: 131537469340
Time: 9.32882 | Cost: 131424515926
Time: 13.9932 | Cost: 131326573460
Time: 18.6577 | Cost: 131248919856
Time: 23.322 | Cost: 131179248374
Time: 27.9865 | Cost: 131113713305
Time: 32.6509 | Cost: 131051065490
Time: 37.3153 | Cost: 130991451059
Time: 41.9797 | Cost: 130930904054
Time: 46.6441 | Cost: 130877371380
Time: 51.3084 | Cost: 130825926271
Time: 55.9727 | Cost: 130776933663
Time: 60.6371 | Cost: 130729573812
Time: 65.3015 | Cost: 130684293528
Time: 69.9659 | Cost: 130636468641
Time: 74.6303 | Cost: 130593685143
Time: 79.2947 | Cost: 130547275052
Time: 83.9591 | Cost: 130507150109
Time: 88.6234 | Cost: 130468504872
Time: 93.2879 | Cost: 130431747708
Time: 97.9523 | Cost: 130403503457
Time: 102.617 | Cost: 130368988102
Time: 107.281 | Cost: 130335559265
Time: 111.945 | Cost: 130302631875
Time: 116.61 | Cost: 130270444134
Time: 121.274 | Cost: 130239398515
Time: 125.939 | Cost: 130209839623
Time: 130.603 | Cost: 130181138117
Time: 135.268 | Cost: 130153205588
Time: 139.932 | Cost: 130126047279
Time: 144.596 | Cost: 130100098892
Time: 149.261 | Cost: 130075337445
Time: 153.925 | Cost: 130051164106
Time: 158.59 | Cost: 130027351812
Time: 163.254 | Cost: 130004284330
Time: 167.918 | Cost: 129981632053
Time: 172.583 | Cost: 129959359954
Time: 177.247 | Cost: 129937433032
Time: 181.911 | Cost: 129913013012
Time: 186.576 | Cost: 129892184808
Time: 191.24 | Cost: 129871916913
Time: 195.905 | Cost: 129852034241
Time: 200.569 | Cost: 129836376374
Time: 205.234 | Cost: 129816863834
Time: 209.898 | Cost: 129797831307

========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 08:32:14 2026
========================================
Time: 0.0000 | Cost: 131662124339
Time: 4.66442 | Cost: 131537469340
Time: 9.32876 | Cost: 131424515926
Time: 13.9962 | Cost: 131344915672
Time: 18.6693 | Cost: 131263510408
